timestamp,open,high,low,close,volume
2022-10-20,184.54,186.99,182.81,183.27,2636230.0
2022-10-21,182.99,187.7785,182.285,187.49,3381194.0
2022-10-24,188.38,190.115,186.69,189.51,4527769.0
2022-10-25,189.57,193.16,189.53,192.94,3287115.0
2022-10-26,191.26,194.64,191.26,191.75,4091096.0
2022-10-27,192.46,193.47,190.61,190.85,3556262.0
2022-10-28,190.84,195.53,190.74,195.29,3178849.0
2022-10-31,193.99,195.17,193.51,194.03,5053867.0
2022-11-01,196,196.439,192.76,193.43,9873764.0
2022-11-02,193.07,195.27,188.29,188.34,4689014.0
2022-11-03,186.5,188.0927,185.13,186.54,3935573.0
2022-11-04,189.32,190.3,185.75,188.94,3586155.0
2022-11-07,189.59,190.97,188.47,190.66,3419955.0
2022-11-08,191.25,193.31,189.42,191.66,4847493.0
2022-11-09,190.46,191.04,187.21,187.53,13958461.0
2022-11-10,194.35,198.31,193.65,198.14,3981594.0
2022-11-11,198.58,200.7,197.82,200.16,4550171.0
2022-11-14,199.26,200.92,198.21,198.35,4248218.0
2022-11-15,201.5,202.14,198.34,200.36,4605700.0
2022-11-16,199.45,199.72,198.03,198.32,2904962.0
2022-11-17,195.67,197.895,195.45,197.49,3705403.0
2022-11-18,199.08,199.41,196.9,198.42,3039298.0
2022-11-21,197.72,198.21,196.65,197.58,2962114.0
2022-11-22,198.13,200.2864,197.79,200.17,3390268.0
2022-11-23,200,201.755,199.8258,201.39,2685706.0
2022-11-25,201.22,201.83,201.03,201.54,1289076.0
2022-11-28,199.93,200.755,197.8037,198.27,3366776.0
2022-11-29,198.49,199.06,197.1,197.96,2640711.0
2022-11-30,198.14,204.1,197.04,204.06,4201324.0
2022-12-01,204.83,205.47,202.79,204.18,4354537.0
2022-12-02,201.55,204.48,201.1974,203.99,2917063.0
2022-12-05,202.51,202.96,199.25,199.98,3840516.0
2022-12-06,199.91,200.05,195.84,196.98,3901011.0
2022-12-07,196.45,197.97,196.02,196.66,3438113.0
2022-12-08,197.55,198.918,196.822,198.36,3982559.0
2022-12-09,197.53,198.83,196.623,196.7,3784948.0
2022-12-12,197,199.53,196.7,199.53,3931575.0
2022-12-13,205.628,205.628,199.62,201.02,4191885.0
2022-12-14,200.92,202.72,198.27,199.9,3331221.0
2022-12-15,197.21,197.71,194.07,194.92,5544545.0
2022-12-16,193.51,194.22,191.42,192.69,4755411.0
2022-12-19,192.8,192.92,189.95,190.75,6433831.0
2022-12-20,190.42,191.97,189.73,191.15,5637787.0
2022-12-21,192.47,194.6516,192.2,194.04,4973432.0
2022-12-22,191.61,191.68,187.38,190.37,5153889.0
2022-12-23,190,191.44,189.01,191.42,4214440.0
2022-12-27,191.39,191.52,189.75,190.62,6037700.0
2022-12-28,190.65,191.5,188.06,188.22,5711907.0
2022-12-29,189.49,192.16,189.366,191.68,5425657.0
2022-12-30,190.18,191.27,189.28,191.19,5979830.0
2023-01-03,192.38,193.36,188.93,190.41,4092466.0
2023-01-04,191.51,193.06,190.14,192.1,3852482.0
2023-01-05,191.22,191.27,189.46,189.85,4149991.0
2023-01-06,191.12,194.64,189.85,194.04,3184261.0
2023-01-09,195.457,196.8882,194.008,194.12,3888341.0
2023-01-10,193.65,195.65,193.29,195.65,2963520.0
2023-01-11,196.55,198.25,196.1539,198.23,3435333.0
2023-01-12,198.79,199.8,196.63,199.19,3552746.0
2023-01-13,197.62,200.269,197.3001,200.04,2798612.0
2023-01-17,200.04,200.88,199.34,199.77,5426661.0
2023-01-18,200.4,201.09,196.56,196.62,3890198.0
2023-01-19,195.41,196.24,194.32,195.02,2282524.0
2023-01-20,195.85,198.81,194.93,198.76,2429314.0
2023-01-23,199.2,202.16,198.7,201.28,3438142.0
2023-01-24,200.4,201.455,199.74,200.95,2679390.0
2023-01-25,198.95,201.2,197.59,201.05,2801970.0
2023-01-26,202.35,203.28,200.85,203.12,2806240.0
2023-01-27,202.6,205.05,202.575,203.94,4521882.0
2023-01-30,202.28,203.61,201.09,201.21,2992250.0
2023-01-31,201.65,204.49,201.45,204.43,4827629.0
2023-02-01,203.91,208.32,202.51,206.92,4385573.0
2023-02-02,209,210.88,208.1,210.01,3730807.0
2023-02-03,207.51,210.18,207.04,207.84,2854159.0
2023-02-06,206.41,207.07,205.5,206.28,2841716.0
2023-02-07,206,209.563,205.03,208.88,3028103.0
2023-02-08,207.91,208.71,206.26,206.65,2945397.0
2023-02-09,208.46,208.61,204.1,204.64,2705943.0
2023-02-10,204.02,205.1796,203.47,205.01,2159772.0
2023-02-13,205.41,207.5,204.99,207.45,3467200.0
2023-02-14,206.65,208.6593,205.31,207.53,2743414.0
2023-02-15,206.46,208.4978,206.04,208.46,2003152.0
2023-02-16,205.97,208.02,205.54,205.68,2458759.0
2023-02-17,204.77,205.2327,203.531,205.08,2324041.0
2023-02-21,203.15,203.5,200.65,200.83,3110758.0
2023-02-22,201,201.96,199.9296,200.66,3011715.0
2023-02-23,202.09,202.458,199.38,201.73,3440076.0
2023-02-24,199.29,199.93,198.16,199.48,3020598.0
2023-02-27,201.31,202.03,199.72,200.19,2850485.0
2023-02-28,200.25,201.08,199.52,199.52,2299124.0
2023-03-01,199.38,200,198.2,200,4176017.0
2023-03-02,197.99,200.8,197.495,200.31,3366143.0
2023-03-03,201.08,203.7,200.91,203.57,2484710.0
2023-03-06,203.86,204.98,203.03,203.3,3812890.0
2023-03-07,203.1,203.47,199.9501,200.27,3346744.0
2023-03-08,200.4,201,199.4,200.53,1985879.0
2023-03-09,200.8,201.75,196.12,196.57,2974271.0
2023-03-10,196.25,197,192.26,193.26,6310531.0
2023-03-13,190.9,195.16,190.18,192.46,6253729.0
2023-03-14,195.5,196.95,193.57,195.89,4473782.0
2023-03-15,192.63,194.4,191.53,194.38,3855377.0
2023-03-16,193.33,197.91,192.8,197.74,3225494.0
2023-03-17,197.25,197.43,194.38,195.19,2902376.0
2023-03-20,195.75,197.38,195.29,196.89,2898137.0
2023-03-21,198.76,200.0499,198.23,199.7,2421657.0
2023-03-22,199.85,201.405,196.12,196.13,2187887.0
2023-03-23,196.85,198.95,194.25,195.7,2629691.0
2023-03-24,194.88,196.97,193.65,196.93,2324909.0
2023-03-27,198.27,198.6,196.92,197.43,2425422.0
2023-03-28,197.2,197.65,196.14,197.15,3678717.0
2023-03-29,199.09,200.09,198.61,199.99,3486491.0
2023-03-30,201.27,201.59,200.12,201.07,2259151.0
2023-03-31,201.57,204.19,201.57,204.1,2986275.0
2023-04-03,203.72,204.99,203.33,204.64,3068203.0
2023-04-04,205,205.06,202.53,203.27,2881821.0
